Model,Overwrite,NSS,CCI,Acc,Std,Latex
intrinsic-densenet-embedding-based,0,1,1,99.8,0.01,$99.8$\scalebox{0.75}{$ \mypm0.01$}&
intrinsic-densenet-embedding-based,0,3,1,96.8,0.04,$96.8$\scalebox{0.75}{$ \mypm0.04$}&
intrinsic-densenet-embedding-based,1,3,1,97.4,0.02,$97.4$\scalebox{0.75}{$ \mypm0.02$}&
intrinsic-densenet-embedding-based,0,5,1,93.8,0.02,$93.8$\scalebox{0.75}{$ \mypm0.02$}&
intrinsic-densenet-embedding-based,1,5,1,94.1,0.45,$94.1$\scalebox{0.75}{$ \mypm0.45$}&
intrinsic-densenet-embedding-based,0,10,1,86.1,0.03,$86.1$\scalebox{0.75}{$ \mypm0.03$}&
intrinsic-densenet-embedding-based,1,10,1,87.3,0.19,$87.3$\scalebox{0.75}{$ \mypm0.19$}&
intrinsic-densenet-embedding-based,0,4,2,52.1,0.10,$52.1$\scalebox{0.75}{$ \mypm0.1$}&
intrinsic-densenet-embedding-based,0,8,2,49.8,0.10,$49.8$\scalebox{0.75}{$ \mypm0.1$}&
intrinsic-densenet-embedding-based,1,3,3,99.8,0.01,$99.8$\scalebox{0.75}{$ \mypm0.01$}&
intrinsic-densenet-embedding-based,1,5,5,99.9,0.03,$99.9$\scalebox{0.75}{$ \mypm0.03$}&
intrinsic-densenet-embedding-based,1,10,10,99.9,0.01,$99.9$\scalebox{0.75}{$ \mypm0.01$}&
standard-densenet-embedding-based,0,1,1,99.5,0.03,$99.5$\scalebox{0.75}{$ \mypm0.03$}&
standard-densenet-embedding-based,0,3,1,96.1,0.02,$96.1$\scalebox{0.75}{$ \mypm0.02$}&
standard-densenet-embedding-based,1,3,1,96.8,0.08,$96.8$\scalebox{0.75}{$ \mypm0.08$}&
standard-densenet-embedding-based,0,5,1,92.7,0.03,$92.7$\scalebox{0.75}{$ \mypm0.03$}&
standard-densenet-embedding-based,1,5,1,93.5,0.05,$93.5$\scalebox{0.75}{$ \mypm0.05$}&
standard-densenet-embedding-based,0,10,1,85.6,0.10,$85.6$\scalebox{0.75}{$ \mypm0.1$}&
standard-densenet-embedding-based,1,10,1,86.4,0.14,$86.4$\scalebox{0.75}{$ \mypm0.14$}&
standard-densenet-embedding-based,0,4,2,51.6,0.15,$51.6$\scalebox{0.75}{$ \mypm0.15$}&
standard-densenet-embedding-based,0,8,2,49.2,0.20,$49.2$\scalebox{0.75}{$ \mypm0.2$}&
standard-densenet-embedding-based,1,3,3,99.7,0.04,$99.7$\scalebox{0.75}{$ \mypm0.04$}&
standard-densenet-embedding-based,1,5,5,99.8,0.00,$99.8$\scalebox{0.75}{$ \mypm0$}&
standard-densenet-embedding-based,1,10,10,99.9,0.01,$99.9$\scalebox{0.75}{$ \mypm0.01$}&
standard-vgg-based,0,1,1,99.5,0.03,$99.5$\scalebox{0.75}{$ \mypm0.03$}&
standard-vgg-based,0,3,1,38.2,0.14,$38.2$\scalebox{0.75}{$ \mypm0.14$}&
standard-vgg-based,1,3,1,46.1,0.15,$46.1$\scalebox{0.75}{$ \mypm0.15$}&
standard-vgg-based,0,5,1,22.7,0.07,$22.7$\scalebox{0.75}{$ \mypm0.07$}&
standard-vgg-based,1,5,1,35.8,0.14,$35.8$\scalebox{0.75}{$ \mypm0.14$}&
standard-vgg-based,0,10,1,11.3,0.02,$11.3$\scalebox{0.75}{$ \mypm0.02$}&
standard-vgg-based,1,10,1,27.8,0.03,$27.8$\scalebox{0.75}{$ \mypm0.03$}&
standard-vgg-based,0,4,2,29.6,0.07,$29.6$\scalebox{0.75}{$ \mypm0.07$}&
standard-vgg-based,0,8,2,14.9,0.03,$14.9$\scalebox{0.75}{$ \mypm0.03$}&
standard-vgg-based,1,3,3,99.4,0.07,$99.4$\scalebox{0.75}{$ \mypm0.07$}&
standard-vgg-based,1,5,5,99.4,0.04,$99.4$\scalebox{0.75}{$ \mypm0.04$}&
standard-vgg-based,1,10,10,99.4,0.01,$99.4$\scalebox{0.75}{$ \mypm0.01$}&
standard-vgg-fine-tune-pretrained,0,1,1,33.1,2.04,$33.1$\scalebox{0.75}{$ \mypm2.04$}&
standard-vgg-fine-tune-pretrained,0,3,1,10.0,0.14,$10$\scalebox{0.75}{$ \mypm0.14$}&
standard-vgg-fine-tune-pretrained,1,3,1,26.7,0.27,$26.7$\scalebox{0.75}{$ \mypm0.27$}&
standard-vgg-fine-tune-pretrained,0,5,1,06.0,0.02,$6$\scalebox{0.75}{$ \mypm0.02$}&
standard-vgg-fine-tune-pretrained,1,5,1,24.5,0.06,$24.5$\scalebox{0.75}{$ \mypm0.06$}&
standard-vgg-fine-tune-pretrained,0,10,1,03.1,0.03,$3.1$\scalebox{0.75}{$ \mypm0.03$}&
standard-vgg-fine-tune-pretrained,1,10,1,22.3,0.06,$22.3$\scalebox{0.75}{$ \mypm0.06$}&
standard-vgg-fine-tune-pretrained,0,4,2,07.7,0.15,$7.7$\scalebox{0.75}{$ \mypm0.15$}&
standard-vgg-fine-tune-pretrained,0,8,2,04.3,0.06,$4.3$\scalebox{0.75}{$ \mypm0.06$}&
standard-vgg-fine-tune-pretrained,1,3,3,32.4,0.29,$32.4$\scalebox{0.75}{$ \mypm0.29$}&
standard-vgg-fine-tune-pretrained,1,5,5,31.9,1.10,$31.9$\scalebox{0.75}{$ \mypm1.1$}&
standard-vgg-fine-tune-pretrained,1,10,10,33.2,0.39,$33.2$\scalebox{0.75}{$ \mypm0.39$}&
standard-vgg-fine-tune-scratch,0,1,1,43.0,0.00,$43$\scalebox{0.75}{$ \mypm0$}&
standard-vgg-fine-tune-scratch,0,3,1,10.9,0.00,$10.9$\scalebox{0.75}{$ \mypm0$}&
standard-vgg-fine-tune-scratch,1,3,1,27.5,0.00,$27.5$\scalebox{0.75}{$ \mypm0$}&
standard-vgg-fine-tune-scratch,0,5,1,06.1,0.00,$6.1$\scalebox{0.75}{$ \mypm0$}&
standard-vgg-fine-tune-scratch,1,5,1,24.5,0.00,$24.5$\scalebox{0.75}{$ \mypm0$}&
standard-vgg-fine-tune-scratch,0,10,1,03.1,0.00,$3.1$\scalebox{0.75}{$ \mypm0$}&
standard-vgg-fine-tune-scratch,1,10,1,22.2,0.00,$22.2$\scalebox{0.75}{$ \mypm0$}&
standard-vgg-fine-tune-scratch,0,4,2,08.8,0.00,$8.8$\scalebox{0.75}{$ \mypm0$}&
standard-vgg-fine-tune-scratch,0,8,2,03.9,0.00,$3.9$\scalebox{0.75}{$ \mypm0$}&
standard-vgg-fine-tune-scratch,1,3,3,44.8,0.00,$44.8$\scalebox{0.75}{$ \mypm0$}&
standard-vgg-fine-tune-scratch,1,5,5,45.3,0.00,$45.3$\scalebox{0.75}{$ \mypm0$}&
standard-vgg-fine-tune-scratch,1,10,10,45.6,0.00,$45.6$\scalebox{0.75}{$ \mypm0$}&
standard-vgg-matching-network,0,1,1,98.5,0.04,$98.5$\scalebox{0.75}{$ \mypm0.04$}&
standard-vgg-matching-network,0,3,1,95.3,0.12,$95.3$\scalebox{0.75}{$ \mypm0.12$}&
standard-vgg-matching-network,1,3,1,45.4,0.19,$45.4$\scalebox{0.75}{$ \mypm0.19$}&
standard-vgg-matching-network,0,5,1,91.5,0.20,$91.5$\scalebox{0.75}{$ \mypm0.2$}&
standard-vgg-matching-network,1,5,1,35.1,0.09,$35.1$\scalebox{0.75}{$ \mypm0.09$}&
standard-vgg-matching-network,0,10,1,83.7,0.19,$83.7$\scalebox{0.75}{$ \mypm0.19$}&
standard-vgg-matching-network,1,10,1,27.4,0.17,$27.4$\scalebox{0.75}{$ \mypm0.17$}&
standard-vgg-matching-network,0,4,2,46.2,0.09,$46.2$\scalebox{0.75}{$ \mypm0.09$}&
standard-vgg-matching-network,0,8,2,44.6,0.09,$44.6$\scalebox{0.75}{$ \mypm0.09$}&
standard-vgg-matching-network,1,3,3,98.7,0.02,$98.7$\scalebox{0.75}{$ \mypm0.02$}&
standard-vgg-matching-network,1,5,5,98.7,0.12,$98.7$\scalebox{0.75}{$ \mypm0.12$}&
standard-vgg-matching-network,1,10,10,98.6,0.14,$98.6$\scalebox{0.75}{$ \mypm0.14$}&
